dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
,,,,700,7,40000,,,,,81,2,2066,[False],[False]
63,late,5,63,700,7,220,"[440, 440, 440]","['higher', 'higher', 'higher']","[7, 2, 4]",3,82,2,2210,"[220, 220, 220]","[220, 220, 220]"
4,late,6,4,700,7,440,"[220, 220]","['lower', 'lower']","[4, 3]",2,83,2,2076,"[-220, -220]","[220, 220]"
,,,,700,7,40000,,,,,84,2,2193,[False],[False]
-125,early,6,125,700,7,192,"[220, 440, 220]","['higher', 'higher', 'higher']","[2, 4, 3]",3,85,2,2092,"[28, 248, 28]","[28, 248, 28]"
,,,,700,7,40000,,,,,86,2,2328,[False],[False]
-63,early,6,63,700,7,392,"[220, 192]","['lower', 'lower']","[2, 4]",2,87,2,2361,"[-172, -200]","[172, 200]"
0,on_time,6,0,700,7,192,[False],['standard'],[False],0,88,2,2159,[False],[False]
,,,,700,7,40000,,,,,89,2,2445,[False],[False]
63,late,6,63,700,7,192,[440],['higher'],[5],1,90,2,2192,[248],[248]
48,late,5,48,700,7,192,[220],['higher'],[3],1,91,2,2127,[28],[28]
,,,,700,7,40000,,,,,92,2,2250,[False],[False]
-36,early,6,36,700,7,192,[False],['standard'],[False],0,93,2,2105,[False],[False]
-63,early,5,63,700,7,220,"[440, 192]","['higher', 'lower']","[3, 4]",2,94,2,2138,"[220, -28]","[220, 28]"
,,,,700,7,40000,,,,,95,2,2291,[False],[False]
100,late,4,100,700,7,440,"[192, 192]","['lower', 'lower']","[2, 3]",2,96,2,2391,"[-248, -248]","[248, 248]"
,,,,700,7,40000,,,,,97,2,2195,[False],[False]
-36,early,5,36,700,7,192,[220],['higher'],[3],1,98,2,2261,[28],[28]
-125,early,4,125,700,7,392,"[220, 440]","['lower', 'higher']","[3, 6]",2,99,2,2270,"[-172, 48]","[172, 48]"
,,,,700,7,40000,,,,,100,2,2447,[False],[False]
8,late,5,8,700,7,220,"[192, 392]","['lower', 'higher']","[7, 4]",2,101,2,2260,"[-28, 172]","[28, 172]"
,,,,700,7,40000,,,,,102,2,2306,[False],[False]
